PY1ESO	Pron. Pers. 1.ª-Pers. Fem./Masc. Sing. Acus.-Dat.-Med.
PY1ESP	Pron. Pers. 1.ª-Pers. Fem./Masc. Sing. Prep.
PY1FPO	Pron. Pers. 1.ª-Pers. Fem. Plur. Acus.-Dat.-Med.
PY1FPQ	Pron. Pers. 1.ª-Pers. Fem. Plur. Nom.-Prep.
PY1FSN	Pron. Pers. 1.ª-Pers. Fem. Sing. Nom.
PY1FSO	Pron. Pers. 1.ª-Pers. Fem. Sing. Acus.-Dat.-Med.
PY1FSP	Pron. Pers. 1.ª-Pers. Fem. Sing. Prep.
PY1MPO	Pron. Pers. 1.ª-Pers. Masc. Plur. Acus.-Dat.-Med.
PY1MPQ	Pron. Pers. 1.ª-Pers. Masc. Plur. Nom.-Prep.
PY1MSN	Pron. Pers. 1.ª-Pers. Masc. Sing. Nom.
PY1MSO	Pron. Pers. 1.ª-Pers. Masc. Sing. Acus.-Dat.-Med.
PY1MSP	Pron. Pers. 1.ª-Pers. Masc. Sing. Prep.
PY2EPO	Pron. Pers. 2.ª-Pers. Fem./Masc. Plur. Acus.-Dat.-Med.
PY2ESN	Pron. Pers. 2.ª-Pers. Fem./Masc. Sing. Nom.
PY2ESO	Pron. Pers. 2.ª-Pers. Fem./Masc. Sing. Acus.-Dat.-Med.
PY2ESP	Pron. Pers. 2.ª-Pers. Fem./Masc. Sing. Prep.
PY2ESQ	Pron. Pers. 2.ª-Pers. Fem./Masc. Sing. Nom.-Prep.
PY2FPO	Pron. Pers. 2.ª-Pers. Fem. Plur. Acus.-Dat.-Med.
PY2FPQ	Pron. Pers. 2.ª-Pers. Fem. Plur. Nom.-Prep.
PY2FSN	Pron. Pers. 2.ª-Pers. Fem. Sing. Nom.
PY2FSO	Pron. Pers. 2.ª-Pers. Fem. Sing. Acus.-Dat.-Med.
PY2FSP	Pron. Pers. 2.ª-Pers. Fem. Sing. Prep.
PY2FSQ	Pron. Pers. 2.ª-Pers. Fem. Sing. Nom.-Prep.
PY2MPO	Pron. Pers. 2.ª-Pers. Masc. Plur. Acus.-Dat.-Med.
PY2MPQ	Pron. Pers. 2.ª-Pers. Masc. Plur. Nom.-Prep.
PY2MSN	Pron. Pers. 2.ª-Pers. Masc. Sing. Nom.
PY2MSO	Pron. Pers. 2.ª-Pers. Masc. Sing. Acus.-Dat.-Med.
PY2MSP	Pron. Pers. 2.ª-Pers. Masc. Sing. Prep.
PY2MSQ	Pron. Pers. 2.ª-Pers. Masc. Sing. Nom.-Prep.
PY3ASD	Pron. Pers. 3.ª Masc./Neut. Sing. Dat.
PY3ASO	Pron. Pers. 3.ª-Pers. Masc./Neut. Sing. Acus.-Dat.-Med.
PY3ASP	Pron. Pers. 3.ª-Pers. Masc./Neut. Sing. Prep.
PY3ASW	Pron. Pers. 3.ª-Pers. Masc./Neut. Sing. Acus.-Pred.
PY3ELO	Pron. Pers. 3.ª-Pers. Masc./Fem. Plur./Sing. Acus.-Dat.-Med.
PY3ELP	Pron. Pers. 3.ª-Pers. Masc./Fem. Plur./Sing. Prep.
PY3EPD	Pron. Pers. 3.ª Fem./Masc. Plur. Dat.
PY3EPO	Pron. Pers. 3.ª-Pers. Masc./Fem. Plur. Acus.-Dat.-Med.
PY3EPP	Pron. Pers. 3.ª-Pers. Masc./Fem. Plur. Prep.
PY3ESD	Pron. Pers. 3.ª Fem./Masc. Sing. Dat.
PY3ESO	Pron. Pers. 3.ª-Pers. Masc./Fem. Sing. Acus.-Dat.-Med.
PY3ESP	Pron. Pers. 3.ª-Pers. Masc./Fem. Sing. Prep.
PY3FPA	Pron. Pers. 3.ª-Pers. Fem. Plur. Acus.
PY3FPD	Pron. Pers. 3.ª Fem. Plur. Dat.
PY3FPO	Pron. Pers. 3.ª-Pers. Fem. Plur. Acus.-Dat.-Med.
PY3FPP	Pron. Pers. 3.ª-Pers. Masc. Plur. Prep.
PY3FPQ	Pron. Pers. 3.ª-Pers. Fem. Plur. Nom.-Prep.
PY3FSA	Pron. Pers. 3.ª-Pers. Fem. Sing. Acus.
PY3FSD	Pron. Pers. 3.ª Fem. Sing. Dat.
PY3FSO	Pron. Pers. 3.ª-Pers. Fem. Sing. Acus.-Dat.-Med.
PY3FSP	Pron. Pers. 3.ª-Pers. Masc. Sing. Prep.
PY3FSQ	Pron. Pers. 3.ª-Pers. Fem. Sing. Nom.-Prep.
PY3ILO	Pron. Pers. 3.ª-Pers. Fem./Masc./Neut. Plur./Sing. Acus.-Dat.-Med.
PY3ILP	Pron. Pers. 3.ª-Pers. Fem./Masc./Neut. Plur./Sing. Prep.
PY3ISD	Pron. Pers. 3.ª-Pers. Fem./Masc./Neut. Sing. Dat.
PY3ISO	Pron. Pers. 3.ª-Pers. Masc./Fem./Neut. Sing. Acus.-Dat.-Med.
PY3ISP	Pron. Pers. 3.ª-Pers. Masc./Fem./Neut. Sing. Prep.
PY3MPA	Pron. Pers. 3.ª-Pers. Masc. Plur. Acus.
PY3MPD	Pron. Pers. 3.ª Masc. Plur. Dat.
PY3MPO	Pron. Pers. 3.ª-Pers. Masc. Plur. Acus.-Dat.-Med.
PY3MPP	Pron. Pers. 3.ª-Pers. Masc. Plur. Prep.
PY3MPQ	Pron. Pers. 3.ª-Pers. Masc. Plur. Nom.-Prep.
PY3MSD	Pron. Pers. 3.ª Masc. Sing. Dat.
PY3MSO	Pron. Pers. 3.ª-Pers. Masc. Sing. Acus.-Dat.-Med.
PY3MSP	Pron. Pers. 3.ª-Pers. Masc. Sing. Prep.
PY3MSQ	Pron. Pers. 3.ª-Pers. Masc. Sing. Nom.-Prep.
PY3MSW	Pron. Pers. 3.ª-Pers. Masc. Sing. Acus.-Pred.
PY3NSD	Pron. Pers. 3.ª Neut. Sing. Dat.
PY3NSO	Pron. Pers. 3.ª-Pers. Neut. Sing. Acus.-Dat.-Med.
PY3NSP	Pron. Pers. 3.ª-Pers. Neut. Sing. Prep.
PY3NSQ	Pron. Pers. 3.ª-Pers. Neut. Sing. Nom.-Prep.
PY3NSW	Pron. Pers. 3.ª-Pers. Neut. Sing. Acus.-Pred.
PY4EPQ	Pron. Pers. 2.ª-Cort. Fem./Masc. Plur. Nom.-Prep.
PY4ESQ	Pron. Pers. 2.ª-Cort. Fem./Masc. Sing. Nom.-Prep.
PY4FPQ	Pron. Pers. 2.ª-Cort. Fem. Plur. Nom.-Prep.
PY4FSQ	Pron. Pers. 2.ª-Cort. Masc. Sing. Nom.-Prep.
PY4MPQ	Pron. Pers. 2.ª-Cort. Masc. Plur. Nom.-Prep.
PY4MSQ	Pron. Pers. 2.ª-Cort. Fem. Sing. Nom.-Prep.
VGP	Verb. Ger. Pres.
VIC1P	Verb. Ind. Pospret. 1.ª-Pers. Plur.
VIC1S	Verb. Ind. Pospret. 1.ª-Pers. Sing.
VIC2P	Verb. Ind. Pospret. 2.ª-Pers. Plur.
VIC2S	Verb. Ind. Pospret. 2.ª-Pers. Sing.
VIC3P	Verb. Ind. Pospret. 3.ª-Pers. Plur.
VIC3S	Verb. Ind. Pospret. 3.ª-Pers. Sing.
VIC4S	Verb. Ind. Pospret. 1.ª-3.ª-Pers. Sing.
VIF1P	Verb. Ind. Fut. 1.ª-Pers. Plur.
VIF1S	Verb. Ind. Fut. 1.ª-Pers. Sing.
VIF2P	Verb. Ind. Fut. 2.ª-Pers. Plur.
VIF2S	Verb. Ind. Fut. 2.ª-Pers. Sing.
VIF3P	Verb. Ind. Fut. 3.ª-Pers. Plur.
VIF3S	Verb. Ind. Fut. 3.ª-Pers. Sing.
VII1P	Verb. Ind. Cop. 1.ª-Pers. Plur.
VII1S	Verb. Ind. Cop. 1.ª-Pers. Sing.
VII2P	Verb. Ind. Cop. 2.ª-Pers. Plur.
VII2S	Verb. Ind. Cop. 2.ª-Pers. Sing.
VII3P	Verb. Ind. Cop. 3.ª-Pers. Plur.
VII3S	Verb. Ind. Cop. 3.ª-Pers. Sing.
VII4S	Verb. Ind. Cop. 1.ª3.ª-Pers. Sing.
VIP1P	Verb. Ind. Pres. 1.ª-Pers. Plur.
VIP1S	Verb. Ind. Pres. 1.ª-Pers. Sing.
VIP2P	Verb. Ind. Pres. 2.ª-Pers. Plur.
VIP2S	Verb. Ind. Pres. 2.ª-Pers. Sing.
VIP3P	Verb. Ind. Pres. 3.ª-Pers. Plur.
VIP3S	Verb. Ind. Pres. 3.ª-Pers. Sing.
VIS1P	Verb. Ind. Pret. 1.ª-Pers. Plur.
VIS1S	Verb. Ind. Pret. 1.ª-Pers. Sing.
VIS2P	Verb. Ind. Pret. 2.ª-Pers. Plur.
VIS2S	Verb. Ind. Pret. 2.ª-Pers. Sing.
VIS3P	Verb. Ind. Pret. 3.ª-Pers. Plur.
VIS3S	Verb. Ind. Pret. 3.ª-Pers. Sing.
VIT1P	Verb. Ind. Pres./Pret. 1.ª-Pers. Plur.
VMP1P	Verb. Imper. Pres. 1.ª-Pers. Plur. 
VMP2P	Verb. Imp. Pres. 2.ª-Plur. Sing.
VMP2S	Verb. Imp. Pres. 2.ª-Pers. Sing.
VMP3P	Verb. Imper. Pres. 3.ª-Pers. Plur.
VMP3S	Verb. Imper. Pres. 3.ª-Pers. Sing.
VNP	Verb. Inf. Pres.
VPAS	Verb. Part. Masc./Neut. Sing.
VPFP	Verb. Part. Fem. Plur.
VPFS	Verb. Part. Fem. Sing.
VPMP	Verb. Part. Masc. Plur.
VPMS	Verb. Part. Masc. Sing.
VPNS	Verb. Part. Neut. Sing.
VSF1P	Verb. Subj. Fut. 1.ª-Pers. Plur.
VSF1S	Verb. Subj. Fut. 1.ª-Pers. Sing.
VSF2P	Verb. Subj. Fut. 2.ª-Pers. Plur.
VSF2S	Verb. Subj. Fut. 2.ª-Pers. Sing.
VSF3P	Verb. Subj. Fut. 3.ª-Pers. Plur.
VSF3S	Verb. Subj. Fut. 3.ª-Pers. Sing.
VSF4S	Verb. Subj. Fut. 1.ª/3.ª-Pers. Sing.
VSI1P	Verb. Subj. Cop. 1.ª-Pers. Plur.
VSI1S	Verb. Subj. Cop. 1.ª-Pers. Sing.
VSI2P	Verb. Subj. Cop. 2.ª-Pers. Plur.
VSI2S	Verb. Subj. Cop. 2.ª-Pers. Sing.
VSI3P	Verb. Subj. Cop. 3.ª-Pers. Plur.
VSI3S	Verb. Subj. Cop. 3.ª-Pers. Sing.
VSI4S	Verb. Subj. Cop. 1.ª-3.ª-Pers. Sing.
VSP1P	Verb. Subj. Pres. 1.ª-Pers. Plur.
VSP1S	Verb. Subj. Pres. 1.ª-Pers. Sing.
VSP2P	Verb. Subj. Pres. 2.ª-Pers. Plur.
VSP2S	Verb. Subj. Pres. 2.ª-Pers. Sing.
VSP3P	Verb. Subj. Pres. 3.ª-Pers. Plur.
VSP3S	Verb. Subj. Pres. 3.ª-Pers. Sing.
VSP4S	Verb. Subj. Pres. 3.ª-Pers. Sing.
VTP1P	Verb. Imp./Subj. Pres. 1.ª-Pers. Plur.
VTP3P	Verb. Imp./Subj. Pres. 3.ª-Pers. Plur.
VTP4S	Verb. Imp./Subj. Pres. 1.ª/3.ª-Pers. Sing.
VUP5S	Verb. Imp./Ind. Pres. 2.ª-Pers./-3.ª-Pers. Sing. 
W	Adv.
X	Prep.
